InstanceId,InstanceName,AvailabilityZone,VolumeId,Encrypted,SecurityGroups
subnet-0bf1dc0dc97b8c95f,pla-core DEV Tenant VPC Private Subnet B,vpc-00cb6ffafa96d62b6,us-gov-west-1b,rtb-07faac9102d076426,10.163.16.0/23,tgw-0a361e67607936eac
subnet-0bf1dc0dc97b8c95f,pla-core DEV Tenant VPC Private Subnet B,vpc-00cb6ffafa96d62b6,us-gov-west-1b,rtb-07faac9102d076426,10.163.18.0/23,tgw-0a361e67607936eac
subnet-0bf1dc0dc97b8c95f,pla-core DEV Tenant VPC Private Subnet B,vpc-00cb6ffafa96d62b6,us-gov-west-1b,rtb-07faac9102d076426,10.163.20.0/23,tgw-0a361e67607936eac
subnet-0bf1dc0dc97b8c95f,pla-core DEV Tenant VPC Private Subnet B,vpc-00cb6ffafa96d62b6,us-gov-west-1b,rtb-07faac9102d076426,10.163.64.0/23,tgw-0a361e67607936eac
subnet-0bf1dc0dc97b8c95f,pla-core DEV Tenant VPC Private Subnet B,vpc-00cb6ffafa96d62b6,us-gov-west-1b,rtb-07faac9102d076426,10.163.66.0/23,tgw-0a361e67607936eac
subnet-0bf1dc0dc97b8c95f,pla-core DEV Tenant VPC Private Subnet B,vpc-00cb6ffafa96d62b6,us-gov-west-1b,rtb-07faac9102d076426,10.163.68.0/23,tgw-0a361e67607936eac
subnet-0bf1dc0dc97b8c95f,pla-core DEV Tenant VPC Private Subnet B,vpc-00cb6ffafa96d62b6,us-gov-west-1b,rtb-07faac9102d076426,10.163.80.0/23,tgw-0a361e67607936eac
subnet-0bf1dc0dc97b8c95f,pla-core DEV Tenant VPC Private Subnet B,vpc-00cb6ffafa96d62b6,us-gov-west-1b,rtb-07faac9102d076426,10.163.82.0/23,tgw-0a361e67607936eac
subnet-0bf1dc0dc97b8c95f,pla-core DEV Tenant VPC Private Subnet B,vpc-00cb6ffafa96d62b6,us-gov-west-1b,rtb-07faac9102d076426,10.163.84.0/23,tgw-0a361e67607936eac
subnet-0bf1dc0dc97b8c95f,pla-core DEV Tenant VPC Private Subnet B,vpc-00cb6ffafa96d62b6,us-gov-west-1b,rtb-07faac9102d076426,10.254.0.0/23,pcx-00ebefe90012dec2c
subnet-0bf1dc0dc97b8c95f,pla-core DEV Tenant VPC Private Subnet B,vpc-00cb6ffafa96d62b6,us-gov-west-1b,rtb-07faac9102d076426,10.10.96.0/20,tgw-080538cc95ca94e74
